YUGIPEDIA CARD TITLE=2269,_O,ID,QTD,SET,COD,Name,Rarity,CARD1,CARD2,TYPE1,TYPE2,Attrib,LV,ATK,DEF,DescEffect,Link,IMG_URL,LIMIT,=IMAGE(S1),detecta duplicatas,0
Dark Magic Attack,10,10,,SS01,ENA11,Dark Magic Attack,Common,Spell,Normal,,,,,,,"If you control ""Dark Magician"": Destroy all Spells and Traps your opponent controls.",https://yugipedia.com/wiki/Dark_Magic_Attack,https://ms.yugipedia.com//thumb/c/cd/DarkMagicAttack-SS01-EN-C-1E.png/300px-DarkMagicAttack-SS01-EN-C-1E.png,4,,SS01ENA11Dark Magic AttackCommon,1
Riryoku,11,11,,SS01,ENA12,Riryoku,Common,Spell,Normal,,,,,,,"Target 2 face-up monsters on the field; halve the ATK of 1 monster, and if you do, add that lost ATK to the other monster. These effects last until the end of this turn.",https://yugipedia.com/wiki/Riryoku,https://ms.yugipedia.com//thumb/c/c0/Riryoku-SBTK-EN-C-LE.png/300px-Riryoku-SBTK-EN-C-LE.png,4,,SS01ENA12RiryokuCommon,1
Tribute Doll,12,12,,SS01,ENA13,Tribute Doll,Common,Spell,Normal,,,,,,,Tribute 1 monster; Special Summon 1 Level 7 monster from your hand that can be Normal Summoned/Set. It cannot attack this turn.,https://yugipedia.com/wiki/Tribute_Doll,https://ms.yugipedia.com//thumb/3/3a/TributeDoll-SS01-EN-C-1E.png/300px-TributeDoll-SS01-EN-C-1E.png,4,,SS01ENA13Tribute DollCommon,1
Wonder Wand,13,13,,SS01,ENA14,Wonder Wand,Common,Spell,Equip,,,,,,,Equip only to a Spellcaster monster. It gains 500 ATK. If you control the equipped monster and this card: You can send both to the GY; draw 2 cards.,https://yugipedia.com/wiki/Wonder_Wand,https://ms.yugipedia.com//thumb/a/a9/WonderWand-STP1-EN-SR-UE.png/300px-WonderWand-STP1-EN-SR-UE.png,4,,SS01ENA14Wonder WandCommon,1
Lightforce Sword,14,14,,SS01,ENA15,Lightforce Sword,Common,Trap,Normal,,,,,,,"Banish 1 random card from your opponent's hand, face-down. During your opponent's 4th Standby Phase after this card's activation, return that card to their hand.",https://yugipedia.com/wiki/Lightforce_Sword,https://ms.yugipedia.com//thumb/2/2b/LightforceSword-SS01-EN-C-1E.png/300px-LightforceSword-SS01-EN-C-1E.png,4,,SS01ENA15Lightforce SwordCommon,1
Magician's Circle,15,15,,SS01,ENA16,Magician's Circle,Common,Trap,Normal,,,,,,,When a Spellcaster monster declares an attack: Each player Special Summons 1 Spellcaster monster with 2000 or less ATK from their Deck in Attack Position.,https://yugipedia.com/wiki/Magician%27s_Circle,https://ms.yugipedia.com//thumb/5/5d/MagiciansCircle-LDS3-EN-C-1E.png/300px-MagiciansCircle-LDS3-EN-C-1E.png,4,,SS01ENA16Magician's CircleCommon,1
Magic Jammer,16,16,,SS01,ENA17,Magic Jammer,Common,Trap,Counter,,,,,,,"When a Spell Card is activated: Discard 1 card; negate the activation, and if you do, destroy it.",https://yugipedia.com/wiki/Magic_Jammer,https://ms.yugipedia.com//thumb/8/89/MagicJammer-SS04-EN-C-1E.png/300px-MagicJammer-SS04-EN-C-1E.png,4,,SS01ENA17Magic JammerCommon,1
Seven Tools of the Bandit,17,17,,SS01,ENA18,Seven Tools of the Bandit,Common,Trap,Counter,,,,,,,"When a Trap Card is activated: Pay 1000 LP; negate the activation, and if you do, destroy it.",https://yugipedia.com/wiki/Seven_Tools_of_the_Bandit,https://ms.yugipedia.com//thumb/5/5d/SevenToolsoftheBandit-SS04-EN-C-1E.png/300px-SevenToolsoftheBandit-SS04-EN-C-1E.png,4,,SS01ENA18Seven Tools of the BanditCommon,1
Power of Dark,18,18,,SS01,ENAS1,Power of Dark,Common,Skill,Field,Yami Yugi,,,,,,"Skill activation
At the start of the Duel, place this card in your Field Spell Zone and flip it over.
Effect
All Fiend and Spellcaster monsters on the field gain 200 ATK/DEF, also all Fairy monsters on the field lose 200 ATK/DEF.
",https://yugipedia.com/wiki/Power_of_Dark,https://ms.yugipedia.com//thumb/3/38/PowerofDark-SS01-EN-C-1E.png/300px-PowerofDark-SS01-EN-C-1E.png,4,,SS01ENAS1Power of DarkCommon,1
Destiny Draw (Skill Card),19,19,,SS01,ENAS2,Destiny Draw,Common,Skill,Normal,Yami Yugi,,,,,,"Skill activation
Flip this card over when you activate this Skill.
Effect
If you lose 2000 or more LP, you can activate this Skill during your next Draw Phase.
During your Draw Phase, you may search your Deck for any card, reveal it to your opponent, and add it to your hand instead of drawing. If you do that, flip this card over.
",https://yugipedia.com/wiki/Destiny_Draw_(Skill_Card),https://ms.yugipedia.com//thumb/a/a2/DestinyDraw-YDPR-EN-UR-UE.png/300px-DestinyDraw-YDPR-EN-UR-UE.png,4,,SS01ENAS2Destiny DrawCommon,1
Final Draw,20,20,,SS01,ENAS3,Final Draw,Common,Skill,Normal,Yami Yugi,,,,,,"Skill activation
Flip this card over when you activate this Skill.
Effect
Activate this Skill during your Main Phase, by placing 3 counters on this card. Once per turn, during your Main Phase, you can remove 1 counter from this card. Once, if this card has no counters, the next time you would draw a card(s), do the following instead.
● Add 1 card from your Deck to your hand, but at the start of the End Phase of this turn, you lose the Duel.
",https://yugipedia.com/wiki/Final_Draw,https://ms.yugipedia.com//thumb/a/a3/FinalDraw-SS01-EN-C-1E.png/300px-FinalDraw-SS01-EN-C-1E.png,4,,SS01ENAS3Final DrawCommon,1
Gravekeeper's Curse,21,21,,SS01,ENB01,Gravekeeper's Curse,Common,Monster,Effect,Spellcaster,,DARK,3,800,800,If this card is Summoned: Inflict 500 damage to your opponent.,https://yugipedia.com/wiki/Gravekeeper%27s_Curse,https://ms.yugipedia.com//thumb/9/99/GravekeepersCurse-SS01-EN-C-1E.png/300px-GravekeepersCurse-SS01-EN-C-1E.png,4,,SS01ENB01Gravekeeper's CurseCommon,1
Gravekeeper's Spear Soldier,22,22,,SS01,ENB02,Gravekeeper's Spear Soldier,Common,Monster,Effect,Spellcaster,,DARK,4,1500,1000,"If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent.",https://yugipedia.com/wiki/Gravekeeper%27s_Spear_Soldier,https://ms.yugipedia.com//thumb/e/e3/GravekeepersSpearSoldier-SS01-EN-C-1E.png/300px-GravekeepersSpearSoldier-SS01-EN-C-1E.png,4,,SS01ENB02Gravekeeper's Spear SoldierCommon,1
Gravekeeper's Vassal,23,23,,SS01,ENB03,Gravekeeper's Vassal,Common,Monster,Effect,Spellcaster,,DARK,3,700,500,Any battle damage this card inflicts to your opponent is treated as effect damage instead.,https://yugipedia.com/wiki/Gravekeeper%27s_Vassal,https://ms.yugipedia.com//thumb/a/a0/GravekeepersVassal-SS01-EN-C-1E.png/300px-GravekeepersVassal-SS01-EN-C-1E.png,4,,SS01ENB03Gravekeeper's VassalCommon,1
Gravekeeper's Chief,24,24,,SS01,ENB04,Gravekeeper's Chief,Common,Monster,Effect,Spellcaster,,DARK,5,1900,1200,"You can only control 1 face-up ""Gravekeeper's Chief"". Your GY is unaffected by ""Necrovalley"". When this card is Tribute Summoned: You can target 1 ""Gravekeeper's"" monster in your GY; Special Summon that target.",https://yugipedia.com/wiki/Gravekeeper%27s_Chief,https://ms.yugipedia.com//thumb/d/d0/GravekeepersChief-SS01-EN-C-1E.png/300px-GravekeepersChief-SS01-EN-C-1E.png,4,,SS01ENB04Gravekeeper's ChiefCommon,1
Gravekeeper's Cannonholder,25,25,,SS01,ENB05,Gravekeeper's Cannonholder,Common,Monster,Effect,Spellcaster,,DARK,4,1400,1200,"You can Tribute 1 ""Gravekeeper's"" monster, except ""Gravekeeper's Cannonholder""; inflict 700 damage to your opponent.",https://yugipedia.com/wiki/Gravekeeper%27s_Cannonholder,https://ms.yugipedia.com//thumb/a/a6/GravekeepersCannonholder-SS01-EN-C-1E.png/300px-GravekeepersCannonholder-SS01-EN-C-1E.png,4,,SS01ENB05Gravekeeper's CannonholderCommon,1
Gravekeeper's Assailant,26,26,,SS01,ENB06,Gravekeeper's Assailant,Common,Monster,Effect,Spellcaster,,DARK,4,1500,1500,"When this card declares an attack while ""Necrovalley"" is on the field: You can target 1 face-up monster your opponent controls; change that target's battle position.",https://yugipedia.com/wiki/Gravekeeper%27s_Assailant,https://ms.yugipedia.com//thumb/4/41/GravekeepersAssailant-SS01-EN-C-1E.png/300px-GravekeepersAssailant-SS01-EN-C-1E.png,4,,SS01ENB06Gravekeeper's AssailantCommon,1
Gravekeeper's Priestess,27,27,,SS01,ENB07,Gravekeeper's Priestess,Common,Monster,Effect,Spellcaster,,DARK,3,1000,1500,"While there is no face-up Field Spell, the field is treated as ""Necrovalley"". All ""Gravekeeper's"" monsters on the field gain 200 ATK/DEF.",https://yugipedia.com/wiki/Gravekeeper%27s_Priestess,https://ms.yugipedia.com//thumb/3/3a/GravekeepersPriestess-STP1-EN-SR-UE.png/300px-GravekeepersPriestess-STP1-EN-SR-UE.png,4,,SS01ENB07Gravekeeper's PriestessCommon,1
Gravekeeper's Recruiter,28,28,,SS01,ENB08,Gravekeeper's Recruiter,Common,Monster,Effect,Spellcaster,,DARK,3,1200,1500,"If this card you control is sent to your GY: Add 1 ""Gravekeeper's"" monster with 1500 or less DEF from your Deck to your hand.",https://yugipedia.com/wiki/Gravekeeper%27s_Recruiter,https://ms.yugipedia.com//thumb/f/f5/GravekeepersRecruiter-SS01-EN-C-1E.png/300px-GravekeepersRecruiter-SS01-EN-C-1E.png,4,,SS01ENB08Gravekeeper's RecruiterCommon,1
Gravekeeper's Shaman,29,29,,SS01,ENB09,Gravekeeper's Shaman,Common,Monster,Effect,Spellcaster,,DARK,6,1500,1500,"Gains 200 DEF for each ""Gravekeeper's"" monster in your GY. Negate all monster effects that activate in the GY, except ""Gravekeeper's"" monsters. While ""Necrovalley"" is on the field, your opponent cannot activate Field Spell Cards, also Field Spell Cards cannot be destroyed by your opponent's card effects.",https://yugipedia.com/wiki/Gravekeeper%27s_Shaman,https://ms.yugipedia.com//thumb/d/d0/GravekeepersShaman-SS01-EN-C-1E.png/300px-GravekeepersShaman-SS01-EN-C-1E.png,4,,SS01ENB09Gravekeeper's ShamanCommon,1
Gravekeeper's Oracle,30,30,,SS01,ENB10,Gravekeeper's Oracle,Common,Monster,Effect,Spellcaster,,DARK,10,2000,1500,"You can Tribute 3 monsters or 1 ""Gravekeeper's"" monster to Tribute Summon (but not Set) this card. When this card is Tribute Summoned: You can activate any of these effects, and resolve in sequence, up to the number of ""Gravekeeper's"" monsters Tributed for its Summon;
● This card gains ATK equal to the combined Levels that all monsters Tributed for its Tribute Summon had on the field x 100.
● Destroy all Set monsters your opponent controls.
● All monsters your opponent currently controls lose 2000 ATK/DEF.",https://yugipedia.com/wiki/Gravekeeper%27s_Oracle,https://ms.yugipedia.com//thumb/6/60/GravekeepersOracle-STP1-EN-UR-UE.png/300px-GravekeepersOracle-STP1-EN-UR-UE.png,4,,SS01ENB10Gravekeeper's OracleCommon,1
A Cat of Ill Omen,31,31,,SS01,ENB11,A Cat of Ill Omen,Common,Monster,Effect,Beast,Flip,DARK,2,500,300,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if ""Necrovalley"" is on the field, you can add that Trap to your hand instead.",https://yugipedia.com/wiki/A_Cat_of_Ill_Omen,https://ms.yugipedia.com//thumb/e/ea/ACatofIllOmen-SS01-EN-C-1E.png/300px-ACatofIllOmen-SS01-EN-C-1E.png,4,,SS01ENB11A Cat of Ill OmenCommon,1
Gravekeeper's Stele,32,32,,SS01,ENB12,Gravekeeper's Stele,Common,Spell,Normal,,,,,,,"Target 2 ""Gravekeeper's"" monsters in your GY; add those targets to your hand. This effect cannot be negated by the effect of ""Necrovalley"".",https://yugipedia.com/wiki/Gravekeeper%27s_Stele,https://ms.yugipedia.com//thumb/3/30/GravekeepersStele-STP1-EN-SR-UE.png/300px-GravekeepersStele-STP1-EN-SR-UE.png,4,,SS01ENB12Gravekeeper's SteleCommon,1
Hidden Temples of Necrovalley,33,33,,SS01,ENB13,Hidden Temples of Necrovalley,Common,Spell,Continuous,,,,,,,"Activate only if both a ""Gravekeeper's"" monster and ""Necrovalley"" are on the field. Neither player can Special Summon monsters, except ""Gravekeeper's"" monsters. If either a ""Gravekeeper's"" monster or ""Necrovalley"" is not on the field, destroy this card.",https://yugipedia.com/wiki/Hidden_Temples_of_Necrovalley,https://ms.yugipedia.com//thumb/d/df/HiddenTemplesofNecrovalley-MAGO-EN-R-1E.png/300px-HiddenTemplesofNecrovalley-MAGO-EN-R-1E.png,4,,SS01ENB13Hidden Temples of NecrovalleyCommon,1
Sebek's Blessing,34,34,,SS01,ENB14,Sebek's Blessing,Common,Spell,Quick-Play,,,,,,,If your monster inflicts battle damage to your opponent by a direct attack: Gain the same amount of LP.,https://yugipedia.com/wiki/Sebek%27s_Blessing,https://ms.yugipedia.com//thumb/5/50/SebeksBlessing-SS01-EN-C-1E.png/300px-SebeksBlessing-SS01-EN-C-1E.png,4,,SS01ENB14Sebek's BlessingCommon,1
Blast Held by a Tribute,35,35,,SS01,ENB15,Blast Held by a Tribute,Common,Trap,Normal,,,,,,,"When an opponent's monster that was Tribute Summoned declares an attack: Destroy as many face-up Attack Position monsters they control as possible, and if you do, inflict 1000 damage to your opponent.",https://yugipedia.com/wiki/Blast_Held_by_a_Tribute,https://ms.yugipedia.com//thumb/4/44/BlastHeldbyaTribute-SS01-EN-C-1E.png/300px-BlastHeldbyaTribute-SS01-EN-C-1E.png,4,,SS01ENB15Blast Held by a TributeCommon,1
Rite of Spirit,36,36,,SS01,ENB16,Rite of Spirit,Common,Trap,Normal,,,,,,,"Target 1 ""Gravekeeper's"" monster in your GY; Special Summon that target. This card's activation and effect are unaffected by ""Necrovalley"".",https://yugipedia.com/wiki/Rite_of_Spirit,https://ms.yugipedia.com//thumb/9/9b/RiteofSpirit-SS01-EN-C-1E.png/300px-RiteofSpirit-SS01-EN-C-1E.png,4,,SS01ENB16Rite of SpiritCommon,1
The Eye of Truth,37,37,,SS01,ENB17,The Eye of Truth,Common,Trap,Continuous,,,,,,,"Your opponent must keep their hand revealed. Once per turn, during your opponent's Standby Phase, if they have a Spell(s) in their hand: They gain 1000 LP if they have a Spell(s) in their hand at resolution.",https://yugipedia.com/wiki/The_Eye_of_Truth,https://ms.yugipedia.com//thumb/0/01/TheEyeofTruth-SS01-EN-C-1E.png/300px-TheEyeofTruth-SS01-EN-C-1E.png,4,,SS01ENB17The Eye of TruthCommon,1
Prescience,38,38,,SS01,ENBS1,Prescience,Common,Skill,Normal,Ishizu,,,,,,"Skill activation
Flip this card over when you activate this Skill.
Effect
If your opponent's LP is more than twice your LP, activate this Skill.
You may look at the top card of both your and your opponent's Deck at any time.
",https://yugipedia.com/wiki/Prescience,https://ms.yugipedia.com//thumb/d/de/Prescience-SS01-EN-C-1E.png/300px-Prescience-SS01-EN-C-1E.png,4,,SS01ENBS1PrescienceCommon,1
Gravekeeper's Lot,39,39,,SS01,ENBS2,Gravekeeper's Lot,Common,Skill,Normal,Ishizu,,,,,,"Skill activation
Flip this card over when you activate this Skill.
Effect
If you lose 1800 or more LP, you can activate this Skill during your next Draw Phase.
During your Draw Phase, you may search your Deck for a ""Gravekeeper's"" card, reveal it to your opponent, and add it to your hand instead of drawing. If you do that, flip this card over.
",https://yugipedia.com/wiki/Gravekeeper%27s_Lot,https://ms.yugipedia.com//thumb/b/bd/GravekeepersLot-SS01-EN-C-1E.png/300px-GravekeepersLot-SS01-EN-C-1E.png,4,,SS01ENBS2Gravekeeper's LotCommon,1
Millennium Necklace (Skill Card),40,40,,SS01,ENBS3,Millennium Necklace,Common,Skill,Normal,Ishizu,,,,,,"Skill activation
Flip this card over when you activate this Skill.
Effect
At the start of the opponent's turn, before they draw, you may look at the top 3 cards of their Deck and rearrange them in any order.
This Skill can only be used once per Duel.
",https://yugipedia.com/wiki/Millennium_Necklace_(Skill_Card),https://ms.yugipedia.com//thumb/0/07/MillenniumNecklace-SS01-EN-C-1E.png/300px-MillenniumNecklace-SS01-EN-C-1E.png,4,,SS01ENBS3Millennium NecklaceCommon,1
Rogue Doll,41,2,,SS01,ENC01,Rogue Doll,Common,Monster,Normal,Spellcaster,,LIGHT,4,1600,1000,"A deadly doll gifted with mystical power, it is particularly powerful when attacking against dark forces.",https://yugipedia.com/wiki/Rogue_Doll,https://ms.yugipedia.com//thumb/4/4d/RogueDoll-EVSD-EN-C-UE.png/300px-RogueDoll-EVSD-EN-C-UE.png,4,,SS01ENC01Rogue DollCommon,1
Toon Alligator,42,41,,SS01,ENC02,Toon Alligator,Common,Monster,Normal,Reptile,,WATER,4,800,1600,An alligator monster straight from the cartoons.,https://yugipedia.com/wiki/Toon_Alligator,https://ms.yugipedia.com//thumb/d/de/ToonAlligator-LDS1-EN-C-1E.png/300px-ToonAlligator-LDS1-EN-C-1E.png,4,,SS01ENC02Toon AlligatorCommon,1
Parrot Dragon,43,42,,SS01,ENC03,Parrot Dragon,Common,Monster,Normal,Dragon,,WIND,5,2000,1300,A dragon from the cartoons that's more dangerous than it appears to be.,https://yugipedia.com/wiki/Parrot_Dragon,https://ms.yugipedia.com//thumb/5/5b/ParrotDragon-SS01-EN-C-1E.png/300px-ParrotDragon-SS01-EN-C-1E.png,4,,SS01ENC03Parrot DragonCommon,1
Dark Rabbit,44,43,,SS01,ENC04,Dark Rabbit,Common,Monster,Normal,Beast,,DARK,4,1100,1500,"He leaps up, down, and all around! Nobody can lay a hand on this funny bunny.",https://yugipedia.com/wiki/Dark_Rabbit,https://ms.yugipedia.com//thumb/9/9d/DarkRabbit-SS01-EN-C-1E.png/300px-DarkRabbit-SS01-EN-C-1E.png,4,,SS01ENC04Dark RabbitCommon,1
Toon Masked Sorcerer,45,44,,SS01,ENC05,Toon Masked Sorcerer,Common,Monster,Effect,Spellcaster,Toon,DARK,4,900,1400,"Cannot attack the turn it is Summoned. If ""Toon World"" on the field is destroyed, destroy this card. While you control ""Toon World"" and your opponent controls no Toon monsters, this card can attack your opponent directly. If this card inflicts battle damage to your opponent: Draw 1 card.",https://yugipedia.com/wiki/Toon_Masked_Sorcerer,https://ms.yugipedia.com//thumb/f/f1/ToonMaskedSorcerer-LDS1-EN-C-1E.png/300px-ToonMaskedSorcerer-LDS1-EN-C-1E.png,4,,SS01ENC05Toon Masked SorcererCommon,1
Toon Mermaid,46,45,,SS01,ENC06,Toon Mermaid,Common,Monster,Effect,Aqua,Toon,WATER,4,1400,1500,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand), while you control ""Toon World"". Cannot attack the turn it is Special Summoned. You must pay 500 LP to declare an attack with this monster. If ""Toon World"" on the field is destroyed, destroy this card. Can attack your opponent directly, unless they control a Toon monster, in which case this card must target a Toon monster for its attacks.",https://yugipedia.com/wiki/Toon_Mermaid,https://ms.yugipedia.com//thumb/2/21/ToonMermaid-LDS1-EN-C-1E.png/300px-ToonMermaid-LDS1-EN-C-1E.png,4,,SS01ENC06Toon MermaidCommon,1
Toon Summoned Skull,47,46,,SS01,ENC07,Toon Summoned Skull,Common,Monster,Effect,Fiend,Toon,DARK,6,2500,1200,"(This card is always treated as an ""Archfiend"" card.)
Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by Tributing 1 monster, while you control ""Toon World"". Cannot attack the turn it is Special Summoned. You must pay 500 LP to declare an attack with this monster. If ""Toon World"" on the field is destroyed, destroy this card. Can attack your opponent directly, unless they control a Toon monster, in which case this card must target a Toon monster for its attacks.",https://yugipedia.com/wiki/Toon_Summoned_Skull,https://ms.yugipedia.com//thumb/d/d8/ToonSummonedSkull-LDS1-EN-C-1E.png/300px-ToonSummonedSkull-LDS1-EN-C-1E.png,4,,SS01ENC07Toon Summoned SkullCommon,1
Relinquished,48,47,,SS01,ENC08,Relinquished,Common,Monster,Ritual,Spellcaster,Effect,DARK,1,0,0,"You can Ritual Summon this card with ""Black Illusion Ritual"". Once per turn: You can target 1 monster your opponent controls; equip that target to this card (max. 1). This card's ATK/DEF become equal to that equipped monster's. If this card would be destroyed by battle, destroy that equipped monster instead. While equipped with that monster, any battle damage you take from battles involving this card inflicts equal effect damage to your opponent.",https://yugipedia.com/wiki/Relinquished,https://ms.yugipedia.com//thumb/a/a2/Relinquished-LDS1-EN-C-1E.png/300px-Relinquished-LDS1-EN-C-1E.png,4,,SS01ENC08RelinquishedCommon,1
Black Illusion Ritual,49,48,,SS01,ENC09,Black Illusion Ritual,Common,Spell,Ritual,,,,,,,"This card is used to Ritual Summon ""Relinquished"". You must also Tribute a monster from your hand or field whose Level is 1 or more.",https://yugipedia.com/wiki/Black_Illusion_Ritual,https://ms.yugipedia.com//thumb/5/53/BlackIllusionRitual-LDS1-EN-C-1E.png/300px-BlackIllusionRitual-LDS1-EN-C-1E.png,4,,SS01ENC09Black Illusion RitualCommon,1
Toon Table of Contents,50,49,,SS01,ENC10,Toon Table of Contents,Common,Spell,Normal,,,,,,,"Add 1 ""Toon"" card from your Deck to your hand.",https://yugipedia.com/wiki/Toon_Table_of_Contents,https://ms.yugipedia.com//thumb/0/0a/ToonTableofContents-LDS1-EN-UR-1E-Blue.png/300px-ToonTableofContents-LDS1-EN-UR-1E-Blue.png,4,,SS01ENC10Toon Table of ContentsCommon,1
Toon Rollback,51,50,,SS01,ENC11,Toon Rollback,Common,Spell,Normal,,,,,,,Target 1 Toon monster you control; it can make a second attack during each Battle Phase this turn.,https://yugipedia.com/wiki/Toon_Rollback,https://ms.yugipedia.com//thumb/d/d4/ToonRollback-DLCS-EN-C-1E.png/300px-ToonRollback-DLCS-EN-C-1E.png,4,,SS01ENC11Toon RollbackCommon,1
Toon World,52,51,,SS01,ENC12,Toon World,Common,Spell,Continuous,,,,,,,Activate this card by paying 1000 LP.,https://yugipedia.com/wiki/Toon_World,https://ms.yugipedia.com//thumb/e/e0/ToonWorld-STP3-EN-SR-UE.png/300px-ToonWorld-STP3-EN-SR-UE.png,4,,SS01ENC12Toon WorldCommon,1
Yami,53,52,,SS01,ENC13,Yami,Common,Spell,Field,,,,,,,"All Fiend and Spellcaster monsters on the field gain 200 ATK/DEF, also all Fairy monsters on the field lose 200 ATK/DEF.",https://yugipedia.com/wiki/Yami,https://ms.yugipedia.com//thumb/7/79/Yami-SS01-EN-C-1E.png/300px-Yami-SS01-EN-C-1E.png,4,,SS01ENC13YamiCommon,1
Sword of Deep-Seated,54,53,,SS01,ENC14,Sword of Deep-Seated,Common,Spell,Equip,,,,,,,The equipped monster gains 500 ATK/DEF. If this card is sent to your GY: Place it on top of your Deck.,https://yugipedia.com/wiki/Sword_of_Deep-Seated,https://ms.yugipedia.com//thumb/5/5d/SwordofDeepSeated-SS01-EN-C-1E.png/300px-SwordofDeepSeated-SS01-EN-C-1E.png,4,,SS01ENC14Sword of Deep-SeatedCommon,1
